Problem Size,Direct_MFLOPS,Vector_MFLOPS,Indirect_MFLOPS
8388608,1198.3725714285713,1198.3725714285713,441.5056842105263
16777216,1198.3725714285713,1198.3725714285713,243.14805797101445
33554432,1198.3725714285713,1157.0493793103446,219.3100130718954
67108864,1177.34849122807,1177.34849122807,206.48881230769229
134217728,1167.1106782608695,1177.34849122807,199.72876190476188
268435456,1172.207231441048,1172.207231441048,196.22474853801168
